date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,17.3,12.8,21.7,0.0,,,,,,
2021-01-02,17.9,12.9,21.8,0.0,,14.0,13.1,,1021.9,
2021-01-03,18.3,12.9,22.9,0.0,,8.0,13.5,,1021.6,
2021-01-04,17.8,13.1,21.5,0.0,,9.0,10.5,,1020.7,
2021-01-05,17.9,12.9,21.1,0.0,,21.0,13.7,,1021.1,
2021-01-06,17.1,11.9,21.1,0.0,,11.0,10.0,,1023.5,
2021-01-07,17.4,12.4,21.8,0.0,,4.0,8.8,,1022.6,
2021-01-08,17.7,12.5,21.3,0.0,,10.0,8.4,,1021.7,
2021-01-09,17.4,12.5,21.2,0.0,,14.0,10.0,,1021.3,
2021-01-10,17.1,11.9,21.2,0.0,,356.0,8.3,,1022.8,
2021-01-11,16.2,11.0,19.9,0.0,,345.0,6.5,,1024.3,
2021-01-12,17.4,13.0,20.8,1.0,,10.0,6.6,,1022.1,
2021-01-13,15.4,12.6,19.5,0.0,,10.0,9.8,,1010.2,
2021-01-14,13.4,10.3,17.3,30.2,,31.0,8.8,,1003.9,
2021-01-15,13.8,8.7,17.5,1.3,,346.0,6.8,,1010.5,
2021-01-16,11.6,11.3,13.4,7.4,,27.0,10.9,,1010.0,
2021-01-17,12.9,9.8,16.0,28.2,,27.0,12.4,,1003.0,
2021-01-18,12.3,7.0,15.7,0.0,,38.0,8.3,,1011.6,
2021-01-19,9.5,5.1,13.1,5.8,,332.0,11.1,,1014.2,
2021-01-20,8.4,6.1,12.3,0.0,,335.0,7.4,,1018.9,
2021-01-21,8.2,4.1,13.0,0.0,,28.0,7.8,,1030.9,
2021-01-22,9.4,5.0,14.6,0.0,,17.0,8.5,,1030.5,
2021-01-23,10.4,6.0,15.4,0.0,,22.0,10.4,,1024.8,
2021-01-24,11.7,7.4,16.8,0.0,,23.0,12.8,,1022.3,
2021-01-25,12.1,7.8,16.1,0.0,,12.0,8.7,,1022.3,
2021-01-26,13.0,11.4,14.9,0.0,,13.0,9.3,,1022.4,
2021-01-27,14.4,10.9,19.4,6.1,,27.0,17.2,,1013.1,
2021-01-28,12.1,8.7,15.1,25.1,,300.0,16.4,,1010.2,
2021-01-29,9.8,7.5,13.9,1.5,,38.0,12.2,,1011.0,
2021-01-30,9.2,6.3,13.8,0.0,,19.0,11.9,,1014.0,
2021-01-31,12.4,7.4,16.9,29.7,,335.0,7.9,,1012.9,
2021-02-01,13.9,11.7,17.6,0.0,,30.0,13.9,,1023.1,
2021-02-02,16.2,11.7,21.4,0.0,,21.0,16.2,,1021.8,
2021-02-03,18.0,15.8,22.0,0.0,,22.0,15.4,,1018.3,
2021-02-04,18.2,14.9,23.0,0.0,,13.0,14.9,,1015.8,
2021-02-05,16.7,12.1,21.6,0.0,,318.0,7.5,,1017.0,
2021-02-06,14.8,10.3,19.4,0.0,,352.0,6.3,,1019.7,
2021-02-07,15.7,11.9,18.2,0.0,,350.0,5.5,,1021.0,
2021-02-08,15.9,13.7,18.2,0.0,,9.0,6.1,,1022.9,
2021-02-09,16.4,12.9,21.3,0.0,,352.0,7.9,,1021.6,
2021-02-10,15.7,11.9,18.1,0.0,,350.0,9.2,,1018.6,
2021-02-11,14.1,11.0,17.9,0.0,,29.0,9.5,,1019.7,
2021-02-12,14.0,10.7,17.3,0.3,,311.0,8.2,,1015.3,
2021-02-13,16.9,10.2,19.9,0.0,,1.0,7.7,,1017.2,
2021-02-14,15.6,11.7,19.8,0.0,,5.0,8.2,,1017.1,
2021-02-15,14.7,10.8,18.9,2.7,,340.0,6.9,,1012.7,
2021-02-16,11.4,9.1,15.6,15.7,,358.0,8.6,,1003.9,
2021-02-17,8.6,6.6,11.7,14.5,,45.0,6.9,,1003.8,
2021-02-18,8.7,5.2,12.2,2.3,,41.0,8.3,,1015.7,
2021-02-19,9.5,7.3,11.9,0.0,,36.0,9.8,,1022.0,
2021-02-20,7.9,5.3,10.8,0.0,,50.0,8.1,,1025.7,
2021-02-21,9.3,5.0,14.7,0.0,,25.0,8.9,,1027.3,
2021-02-22,11.6,6.6,17.4,0.0,,14.0,9.4,,1027.4,
2021-02-23,13.5,6.7,18.8,0.0,,336.0,7.8,,1025.2,
2021-02-24,15.2,9.4,20.1,0.0,,295.0,7.1,,1020.9,
2021-02-25,16.7,10.8,19.5,0.0,,336.0,6.9,,1021.8,
2021-02-26,15.9,9.7,18.6,0.0,,311.0,6.5,,1022.2,
2021-02-27,16.2,9.1,20.1,0.0,,334.0,6.9,,1018.1,
2021-02-28,16.6,9.5,19.4,0.0,,325.0,7.2,,1015.3,
2021-03-01,16.2,12.1,19.4,0.0,,331.0,7.8,,1017.2,
2021-03-02,15.1,9.4,19.0,0.0,,35.0,9.0,,1020.3,
2021-03-03,14.3,9.4,17.3,25.4,,7.0,12.9,,1019.0,
2021-03-04,16.3,10.2,19.5,0.0,,314.0,8.5,,1016.9,
2021-03-05,16.8,10.4,19.8,0.0,,352.0,7.7,,1020.6,
2021-03-06,16.3,10.8,18.9,0.0,,3.0,7.8,,1023.0,
2021-03-07,16.2,11.5,18.5,0.0,,8.0,7.2,,1017.3,
2021-03-08,16.5,11.8,18.9,0.0,,359.0,8.1,,1014.2,
2021-03-09,16.6,12.4,19.3,0.0,,4.0,9.1,,1015.5,
2021-03-10,19.1,13.0,22.8,0.0,,16.0,11.4,,1013.4,
2021-03-11,18.3,13.6,21.1,0.0,,276.0,13.3,,1003.5,
2021-03-12,15.2,12.0,17.2,0.0,,192.0,12.7,,1008.9,
2021-03-13,14.8,9.1,18.1,0.0,,20.0,7.6,,1018.5,
2021-03-14,15.0,11.1,17.7,0.0,,341.0,5.8,,1016.5,
2021-03-15,14.5,12.8,16.4,4.3,,32.0,8.0,,1011.9,
2021-03-16,14.8,11.9,17.8,13.5,,219.0,21.4,,1008.2,
2021-03-17,13.3,11.1,16.6,1.3,,314.0,15.0,,1008.0,
2021-03-18,13.6,8.7,16.1,8.1,,343.0,10.6,,1010.1,
2021-03-19,14.4,9.1,18.3,0.0,,284.0,8.1,,1016.1,
2021-03-20,15.4,11.4,19.2,0.0,,19.0,8.0,,1017.3,
2021-03-21,16.5,11.4,21.0,0.0,,332.0,8.2,,1012.2,
2021-03-22,18.6,14.4,24.0,1.8,,11.0,10.0,,1007.8,
2021-03-23,15.0,12.5,16.7,24.5,,20.0,9.5,,1003.1,
2021-03-24,13.8,10.7,15.8,0.7,,232.0,19.9,,998.5,
2021-03-25,12.8,9.6,16.0,0.0,,276.0,13.7,,1007.5,
2021-03-26,9.8,8.0,11.7,0.8,,16.0,8.4,,1015.3,
2021-03-27,11.7,6.3,16.2,0.0,,296.0,9.2,,1023.9,
2021-03-28,12.9,8.2,16.7,0.0,,294.0,8.3,,1027.2,
2021-03-29,14.7,8.9,19.0,0.0,,340.0,7.8,,1023.8,
2021-03-30,16.7,10.5,21.1,0.0,,4.0,8.6,,1016.3,
2021-03-31,16.3,13.9,19.1,2.5,,19.0,12.4,,1012.3,
2021-04-01,13.5,10.9,16.2,6.6,,227.0,10.0,,1013.5,
2021-04-02,13.3,11.1,16.9,2.5,,50.0,10.1,,1014.6,
2021-04-03,15.0,10.7,18.3,3.3,,14.0,8.5,,1018.2,
2021-04-04,16.3,12.7,18.8,0.0,,344.0,10.0,,1020.9,
2021-04-05,15.3,13.6,17.4,0.0,,15.0,6.7,,1020.6,
2021-04-06,20.1,14.9,26.0,0.0,,22.0,9.0,,1015.2,
2021-04-07,20.6,16.6,24.9,0.0,,359.0,9.0,,1011.2,
2021-04-08,18.1,15.1,20.5,0.0,,74.0,8.7,,1012.7,
2021-04-09,16.1,13.0,18.1,1.2,,25.0,10.7,,1010.3,
2021-04-10,12.1,11.1,13.4,10.0,,33.0,16.9,,1008.3,
2021-04-11,12.1,9.1,16.1,12.7,,273.0,7.8,,1014.2,
2021-04-12,13.6,8.4,17.8,0.0,,269.0,8.7,,1018.8,
2021-04-13,14.9,9.8,18.5,0.0,,319.0,9.8,,1019.9,
2021-04-14,17.1,11.4,19.5,0.0,,12.0,8.0,,1020.3,
2021-04-15,18.3,13.6,20.8,0.0,,8.0,7.2,,1017.9,
2021-04-16,19.6,14.5,22.4,0.0,,12.0,6.4,,1016.3,
2021-04-17,21.8,15.6,25.6,0.0,,320.0,7.3,,1016.0,
2021-04-18,24.9,18.9,28.0,0.0,,354.0,7.5,,1016.2,
2021-04-19,26.5,21.1,30.8,0.0,,5.0,6.5,,1012.1,
2021-04-20,20.6,17.7,23.6,0.0,,48.0,8.2,,1008.9,
2021-04-21,18.1,15.7,20.7,0.0,,58.0,13.8,,1014.4,
2021-04-22,19.4,15.7,21.4,0.0,,75.0,9.1,,1018.2,
2021-04-23,21.1,15.3,24.7,0.0,,296.0,7.7,,1018.1,
2021-04-24,24.9,16.9,29.0,0.0,,354.0,7.6,,1011.6,
2021-04-25,22.6,19.5,27.4,0.0,,72.0,7.2,,1006.9,
2021-04-26,20.6,17.0,23.0,0.0,,102.0,7.2,,1005.6,
2021-04-27,21.6,18.3,23.4,0.0,,170.0,9.2,,1011.6,
2021-04-28,21.4,18.8,23.0,0.0,,84.0,8.9,,1016.1,
2021-04-29,22.2,19.1,24.1,0.0,,122.0,6.4,,1016.6,
2021-04-30,22.4,19.4,24.0,0.0,,104.0,6.0,,1014.6,
2021-05-01,22.8,18.9,24.9,0.0,,78.0,7.1,,1014.2,
2021-05-02,23.1,19.7,25.0,0.0,,115.0,7.5,,1013.1,
2021-05-03,23.2,20.1,25.4,0.0,,87.0,8.5,,1011.2,
2021-05-04,23.3,20.1,26.3,0.0,,96.0,6.3,,1009.4,
2021-05-05,23.8,20.3,25.5,0.0,,103.0,7.1,,1008.6,
2021-05-06,21.2,19.2,23.0,0.3,,69.0,8.2,,1010.4,
2021-05-07,22.7,19.3,25.9,0.0,,212.0,9.1,,1013.1,
2021-05-08,22.6,20.3,24.8,0.0,,144.0,7.6,,1014.0,
2021-05-09,23.9,21.0,26.4,0.0,,162.0,5.7,,1009.2,
2021-05-10,21.3,16.4,25.5,0.0,,163.0,8.8,,1010.8,
2021-05-11,22.4,18.8,25.9,0.0,,225.0,8.1,,1009.0,
2021-05-12,22.2,17.8,25.3,0.0,,209.0,8.2,,1009.2,
2021-05-13,22.3,19.0,25.0,0.0,,177.0,8.5,,1011.3,
2021-05-14,22.4,19.7,25.0,0.0,,153.0,9.0,,1013.5,
2021-05-15,22.4,19.4,25.2,0.0,,126.0,9.2,,1011.6,
2021-05-16,22.1,19.2,25.3,0.0,,334.0,9.7,,1008.5,
2021-05-17,22.6,19.6,25.4,0.0,,145.0,10.1,,1008.7,
2021-05-18,22.7,19.2,25.4,0.0,,225.0,8.7,,1012.0,
2021-05-19,23.5,19.9,26.5,0.0,,151.0,8.1,,1012.2,
2021-05-20,23.9,20.6,27.4,0.0,,141.0,8.1,,1010.5,
2021-05-21,23.5,19.0,27.2,0.0,,151.0,8.7,,1008.7,
2021-05-22,21.9,19.5,24.4,1.9,,28.0,12.0,,1008.6,
2021-05-23,23.4,19.4,26.3,0.0,,263.0,10.9,,1010.0,
2021-05-24,24.3,20.5,28.3,0.0,,252.0,10.8,,1011.0,
2021-05-25,24.7,20.9,27.9,0.0,,210.0,10.4,,1011.2,
2021-05-26,24.8,21.6,27.3,0.0,,137.0,8.8,,1009.8,
2021-05-27,24.6,21.9,27.7,0.0,,127.0,8.2,,1008.8,
2021-05-28,24.9,22.8,27.3,0.0,,142.0,9.0,,1008.6,
2021-05-29,24.1,22.6,26.5,0.0,,225.0,7.6,,1009.0,
2021-05-30,24.8,22.3,27.5,0.0,,172.0,8.9,,1012.5,
2021-05-31,25.0,21.9,28.4,0.0,,209.0,9.3,,1009.0,
2021-06-01,23.0,21.3,24.4,0.4,,275.0,15.7,,1007.3,
2021-06-02,23.8,20.8,26.1,0.0,,100.0,10.8,,1011.4,
2021-06-03,24.0,21.4,26.4,0.0,,174.0,10.0,,1014.4,
2021-06-04,24.6,21.0,27.2,0.0,,180.0,8.8,,1013.8,
2021-06-05,24.8,21.3,28.1,0.0,,234.0,9.4,,1012.0,
2021-06-06,25.2,21.1,28.3,0.0,,239.0,9.5,,1011.8,
2021-06-07,25.0,22.1,27.9,0.0,,182.0,9.0,,1013.0,
2021-06-08,24.7,21.5,27.5,0.0,,108.0,9.0,,1011.6,
2021-06-09,25.1,22.2,27.4,0.0,,85.0,8.5,,1009.8,
2021-06-10,25.3,22.8,28.1,0.0,,187.0,11.0,,1007.9,
2021-06-11,25.1,22.5,28.2,0.0,,231.0,12.8,,1009.6,
2021-06-12,25.1,22.4,27.9,0.0,,119.0,12.4,,1010.7,
2021-06-13,25.2,22.7,27.5,0.0,,124.0,8.8,,1010.5,
2021-06-14,24.9,22.4,27.6,0.0,,171.0,11.8,,1008.5,
2021-06-15,24.8,21.8,27.9,0.0,,270.0,12.9,,1009.3,
2021-06-16,24.2,22.4,25.2,0.0,,286.0,14.9,,1009.0,
2021-06-17,24.9,21.3,28.7,0.0,,186.0,13.3,,1013.1,
2021-06-18,25.3,22.4,28.4,0.0,,133.0,10.0,,1011.8,
2021-06-19,25.6,22.9,28.1,0.0,,90.0,10.3,,1008.9,
2021-06-20,25.4,24.0,27.3,0.0,,147.0,10.1,,1008.8,
2021-06-21,26.0,23.6,28.4,0.0,,125.0,9.7,,1009.9,
2021-06-22,26.0,23.5,28.8,0.0,,187.0,10.3,,1010.8,
2021-06-23,26.0,23.1,28.7,0.0,,175.0,9.4,,1010.9,
2021-06-24,26.6,24.5,29.2,0.0,,127.0,7.3,,1009.5,
2021-06-25,27.2,24.5,29.7,0.0,,155.0,9.6,,1007.6,
2021-06-26,27.6,24.7,30.4,0.0,,204.0,9.5,,1005.4,
2021-06-27,28.2,25.1,30.6,0.0,,212.0,10.1,,1005.6,
2021-06-28,28.7,26.2,31.6,0.0,,164.0,10.9,,1006.5,
2021-06-29,29.2,26.1,32.3,0.0,,209.0,10.2,,1006.3,
2021-06-30,29.3,25.9,32.7,0.0,,172.0,9.5,,1006.8,
2021-07-01,29.2,26.2,32.2,0.0,,109.0,8.8,,1006.9,
2021-07-02,29.1,26.5,31.4,0.0,,91.0,9.4,,1006.6,
2021-07-03,29.2,26.9,32.0,0.0,,160.0,12.4,,1003.7,
2021-07-04,29.2,26.1,31.0,0.0,,105.0,10.1,,1003.1,
2021-07-05,29.4,26.2,31.9,0.0,,193.0,8.6,,1004.9,
2021-07-06,28.2,25.7,28.8,0.5,,162.0,7.1,,1004.9,
2021-07-07,29.3,25.3,31.8,0.8,,198.0,10.3,,1006.2,
2021-07-08,29.7,26.3,31.8,0.0,,156.0,9.5,,1007.3,
2021-07-09,29.9,26.7,32.4,0.0,,132.0,10.7,,1005.4,
2021-07-10,30.4,27.7,32.3,0.0,,167.0,10.6,,1002.4,
2021-07-11,30.6,27.5,32.5,0.0,,134.0,10.1,,1002.9,
2021-07-12,30.8,27.6,33.0,0.0,,149.0,11.9,,1005.4,
2021-07-13,30.7,27.6,32.5,0.0,,117.0,11.3,,1004.9,
2021-07-14,30.6,28.1,32.7,0.0,,91.0,11.0,,1003.5,
2021-07-15,30.3,27.3,33.2,0.0,,246.0,11.7,,1001.9,
2021-07-16,31.1,27.4,33.3,0.0,,201.0,11.5,,1002.7,
2021-07-17,30.8,27.4,32.6,0.0,,145.0,8.3,,1003.7,
2021-07-18,30.7,27.0,33.1,0.0,,152.0,8.9,,1004.0,
2021-07-19,31.1,27.7,33.5,0.0,,134.0,9.6,,1006.3,
2021-07-20,31.2,27.3,32.5,0.0,,138.0,11.1,,1006.7,
2021-07-21,30.8,26.2,32.7,0.0,,123.0,11.9,,1005.2,
2021-07-22,30.9,27.4,32.5,0.0,,147.0,11.6,,1003.6,
2021-07-23,30.8,28.3,32.9,0.0,,199.0,9.0,,1002.3,
2021-07-24,30.9,27.6,33.1,0.0,,224.0,12.2,,1002.6,
2021-07-25,30.9,27.8,32.8,0.0,,180.0,10.3,,1005.2,
2021-07-26,30.9,27.2,33.0,0.0,,158.0,8.5,,1007.3,
2021-07-27,31.7,27.7,34.0,0.0,,268.0,10.5,,1007.2,
2021-07-28,32.6,27.9,34.6,0.0,,262.0,9.9,,1004.5,
2021-07-29,31.7,28.4,33.5,0.0,,249.0,11.9,,1002.4,
2021-07-30,31.1,27.0,33.9,0.0,,206.0,10.6,,1001.9,
2021-07-31,31.2,27.2,33.9,0.0,,181.0,11.5,,1002.0,
2021-08-01,31.5,27.2,33.9,0.0,,188.0,11.3,,1003.1,
2021-08-02,31.3,26.9,34.0,0.0,,186.0,10.8,,1003.1,
2021-08-03,31.6,27.4,34.2,0.0,,198.0,10.5,,1004.8,
2021-08-04,31.7,27.4,33.9,0.0,,168.0,10.7,,1006.4,
2021-08-05,31.5,28.2,33.6,0.0,,156.0,9.0,,1005.7,
2021-08-06,31.6,28.6,34.5,0.0,,142.0,8.5,,1003.3,
2021-08-07,28.5,24.6,30.9,10.0,,42.0,10.7,,1002.6,
2021-08-08,30.2,20.3,32.9,42.9,,90.0,8.8,,1005.5,
2021-08-09,31.1,26.6,33.6,0.0,,262.0,9.0,,1007.8,
2021-08-10,30.9,26.3,33.5,0.0,,265.0,8.3,,1006.4,
2021-08-11,31.3,26.3,33.4,0.0,,270.0,10.2,,1005.2,
2021-08-12,31.4,27.0,33.5,0.0,,253.0,10.3,,1006.6,
2021-08-13,31.3,27.8,34.9,0.0,,260.0,9.5,,1008.1,
2021-08-14,30.6,27.1,33.8,0.0,,268.0,10.1,,1007.1,
2021-08-15,30.4,27.0,33.3,0.0,,236.0,10.5,,1006.3,
2021-08-16,30.3,27.2,33.1,0.0,,257.0,11.3,,1007.0,
2021-08-17,30.2,27.2,33.5,0.0,,138.0,10.3,,1006.7,
2021-08-18,29.9,27.5,32.7,0.0,,105.0,11.4,,1004.4,
2021-08-19,30.3,27.9,32.9,0.0,,105.0,9.9,,1003.2,
2021-08-20,30.5,27.5,33.5,0.0,,258.0,10.1,,1005.2,
2021-08-21,30.8,27.3,33.9,0.0,,250.0,10.4,,1005.8,
2021-08-22,30.2,27.6,33.4,0.0,,110.0,9.5,,1005.6,
2021-08-23,30.3,27.7,32.8,0.0,,120.0,10.7,,1005.5,
2021-08-24,30.4,27.6,33.1,0.0,,131.0,8.9,,1006.4,
2021-08-25,30.4,27.6,33.1,0.0,,159.0,8.2,,1007.8,
2021-08-26,30.4,27.9,33.6,0.0,,266.0,8.0,,1008.4,
2021-08-27,30.5,27.5,33.4,0.0,,183.0,9.0,,1008.2,
2021-08-28,30.0,27.5,33.2,0.0,,102.0,10.2,,1007.3,
2021-08-29,29.5,26.2,32.7,0.0,,277.0,8.9,,1006.0,
2021-08-30,29.5,26.3,32.5,0.0,,315.0,10.7,,1007.2,
2021-08-31,29.5,26.8,32.7,0.0,,156.0,11.4,,1008.9,
2021-09-01,29.5,26.5,32.6,0.0,,254.0,10.0,,1008.3,
2021-09-02,29.6,25.9,32.9,0.0,,248.0,8.3,,1006.6,
2021-09-03,29.5,26.5,33.1,0.0,,273.0,9.4,,1007.3,
2021-09-04,28.8,24.2,32.8,0.0,,277.0,8.0,,1007.5,
2021-09-05,28.9,24.7,32.2,0.0,,296.0,9.6,,1007.4,
2021-09-06,28.8,25.9,31.9,0.0,,219.0,10.3,,1008.6,
2021-09-07,28.8,25.1,31.9,0.0,,217.0,9.6,,1011.4,
2021-09-08,28.9,25.2,32.5,0.0,,80.0,9.7,,1011.9,
2021-09-09,29.3,26.0,32.6,0.0,,34.0,11.4,,1010.4,
2021-09-10,28.7,26.6,31.2,0.0,,264.0,13.6,,1009.4,
2021-09-11,28.6,25.7,32.2,0.0,,36.0,13.7,,1008.1,
2021-09-12,28.2,25.3,31.5,0.0,,211.0,8.9,,1008.0,
2021-09-13,27.8,24.6,31.6,0.0,,284.0,11.5,,1007.7,
2021-09-14,27.6,24.1,31.1,0.0,,257.0,10.5,,1008.6,
2021-09-15,24.7,22.0,26.5,3.2,,358.0,10.4,,1009.8,
2021-09-16,25.1,21.9,30.3,0.0,,54.0,6.8,,1010.4,
2021-09-17,26.3,21.3,30.7,0.0,,305.0,9.1,,1009.8,
2021-09-18,26.8,21.9,31.0,0.0,,269.0,10.0,,1011.2,
2021-09-19,26.9,22.4,30.3,0.0,,164.0,7.9,,1012.4,
2021-09-20,27.6,24.3,31.0,0.0,,269.0,8.2,,1013.0,
2021-09-21,27.8,24.1,31.0,0.0,,271.0,8.0,,1012.2,
2021-09-22,25.9,22.7,28.3,0.7,,56.0,6.7,,1007.1,
2021-09-23,24.2,20.0,29.1,4.1,,38.0,10.1,,1004.0,
2021-09-24,23.7,20.0,28.4,0.0,,319.0,9.8,,1009.3,
2021-09-25,23.9,18.9,28.8,0.0,,358.0,8.5,,1015.2,
2021-09-26,25.0,20.1,30.1,0.0,,315.0,7.2,,1015.8,
2021-09-27,26.4,19.5,30.5,0.0,,331.0,8.5,,1009.7,
2021-09-28,26.2,23.1,29.7,0.0,,52.0,9.6,,1009.3,
2021-09-29,26.5,22.5,29.4,0.0,,311.0,9.0,,1010.3,
2021-09-30,24.2,21.6,26.8,0.0,,15.0,7.8,,1010.3,
2021-10-01,25.4,21.6,29.6,0.0,,338.0,7.9,,1011.1,
2021-10-02,25.9,20.1,31.5,0.0,,310.0,7.4,,1009.7,
2021-10-03,26.0,20.9,30.4,0.0,,334.0,10.4,,1010.2,
2021-10-04,24.3,20.4,28.5,0.0,,290.0,8.8,,1013.3,
2021-10-05,23.8,19.3,28.3,0.0,,311.0,10.7,,1012.5,
2021-10-06,22.8,18.4,27.3,0.0,,338.0,8.3,,1013.6,
2021-10-07,23.6,17.5,29.4,0.0,,331.0,7.1,,1014.3,
2021-10-08,24.4,17.9,31.0,0.0,,339.0,8.8,,1013.8,
2021-10-09,24.6,17.9,31.0,0.0,,323.0,8.3,,1013.9,
2021-10-10,24.1,18.3,29.9,0.0,,322.0,7.9,,1014.5,
2021-10-11,24.1,18.6,29.3,0.0,,328.0,7.7,,1012.8,
2021-10-12,23.9,19.5,28.1,0.0,,357.0,7.7,,1009.8,
2021-10-13,23.6,20.2,27.6,0.0,,8.0,10.2,,1012.2,
2021-10-14,22.7,19.6,26.5,0.0,,336.0,8.9,,1016.2,
2021-10-15,23.3,18.8,28.2,0.0,,338.0,7.9,,1015.6,
2021-10-16,23.8,18.5,28.0,0.0,,346.0,7.2,,1014.0,
2021-10-17,23.4,19.7,27.5,0.0,,23.0,10.3,,1013.1,
2021-10-18,23.9,19.9,27.4,0.0,,13.0,10.9,,1014.8,
