date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.6,-5.1,,,10.0,,,,,
2021-01-02,1.6,-4.2,,,,,,,,
2021-01-03,3.6,-2.2,,,,,,,,
2021-01-04,2.3,-0.4,,,,,,,,
2021-01-05,1.6,-4.0,,,,,,,,
2021-01-06,0.6,-6.0,,,,,,,,
2021-01-07,2.2,-4.8,,,,,,,,
2021-01-08,1.6,-4.9,,,,,,,,
2021-01-09,2.5,-3.6,,,,,,,,
2021-01-10,2.1,-4.4,,,,,,,,
2021-01-11,3.8,-3.1,,,,,,,,
2021-01-12,7.3,0.4,,,,,,,,
2021-01-13,6.9,2.1,,,,,,,,
2021-01-14,4.2,,,,,,,,,
2021-01-15,1.8,,,29.5,,,,,,
2021-01-16,1.9,-4.5,,0.0,41.0,,,,,
2021-01-17,0.2,-4.2,,,30.0,,,,,
2021-01-18,-0.6,-2.4,,28.4,10.0,,,,,
2021-01-19,-0.3,-2.8,,4.8,,,,,,
2021-01-20,-0.6,-2.8,,26.2,10.0,,,,,
2021-01-21,-5.4,-10.2,,0.3,460.0,,,,,
2021-01-22,-5.2,-11.4,,0.0,439.0,,,,,
2021-01-23,-5.7,-14.2,,,429.0,,,,,
2021-01-24,-4.0,-11.2,,,419.0,,,,,
2021-01-25,-3.8,-11.4,,,409.0,,,,,
2021-01-26,-2.9,-9.2,,,391.0,,,,,
2021-01-27,-1.7,-7.1,,,371.0,,,,,
2021-01-28,-1.6,-4.4,,5.6,10.0,,,,,
2021-01-29,2.3,-0.8,,19.3,,,,,,
2021-01-30,-0.3,-3.0,,20.6,10.0,,,,,
2021-01-31,-1.5,-5.0,,0.0,579.0,,,,,
2021-02-01,0.1,-3.3,,,521.0,,,,,
2021-02-02,-4.1,-6.2,,,470.0,,,,,
2021-02-03,-1.8,-7.6,,,429.0,,,,,
2021-02-04,0.9,-4.3,,,419.0,,,,,
2021-02-05,0.9,,,1.5,,,,,,
2021-02-06,3.9,1.0,,6.1,,,,,,
2021-02-07,2.8,-3.6,,0.0,381.0,,,,,
2021-02-08,5.4,-1.8,,,320.0,,,,,
2021-02-09,6.3,0.8,,,300.0,,,,,
2021-02-10,5.3,0.4,,,279.0,,,,,
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-13,8.7,,,,,,,,,
2021-02-14,7.5,1.2,,,71.0,,,,,
2021-02-15,7.4,0.0,,,30.0,,,,,
2021-02-16,8.2,3.0,,,,,,,,
2021-02-17,4.6,,,34.5,30.0,,,,,
2021-02-18,-0.5,-3.9,,14.0,10.0,,,,,
2021-02-19,-0.4,-3.8,,0.3,,,,,,
2021-02-20,,,,,,,,,,
2021-02-21,,,,,,,,,,
2021-02-22,-2.8,-8.6,,0.3,41.0,,,,,
2021-02-23,1.1,-7.8,,0.0,,,,,,
2021-02-24,3.3,-3.3,,,,,,,,
2021-02-25,1.4,-1.9,,,,,,,,
2021-02-26,2.1,-4.8,,,,,,,,
2021-02-27,3.9,-4.5,,,,,,,,
2021-02-28,4.9,-2.9,,,,,,,,
2021-03-01,4.6,1.4,,,,,,,,
2021-03-02,4.4,0.1,,0.8,,,,,,
2021-03-03,4.7,0.5,,0.0,,,,,,
2021-03-04,0.6,0.2,,1.3,20.0,,,,,
2021-03-05,3.1,-0.4,,32.0,10.0,,,,,
2021-03-06,4.7,-1.6,,0.3,71.0,,,,,
2021-03-07,5.4,-1.9,,0.0,30.0,,,,,
2021-03-08,4.0,0.9,,,,,,,,
2021-03-09,4.8,0.1,,,,,,,,
2021-03-10,6.1,0.6,,,,,,,,
2021-03-11,9.1,1.6,,6.1,10.0,,,,,
2021-03-12,4.1,2.4,,1.5,,,,,,
2021-03-13,3.8,-3.0,,1.0,,,,,,
2021-03-14,7.3,-0.9,,0.0,,,,,,
2021-03-15,4.3,,,,,,,,,
2021-03-16,9.2,1.2,,6.6,,,,,,
2021-03-17,11.7,7.8,,0.3,,,,,,
2021-03-18,,,,,,,,,,
2021-03-19,,,,,,,,,,
2021-03-20,,,,,,,,,,
2021-03-21,,,,,,,,,,
2021-03-22,,,,,,,,,,
2021-03-23,,,,,,,,,,
2021-03-24,,,,,,,,,,
2021-03-25,,,,,,,,,,
2021-03-26,,,,,,,,,,
2021-03-27,,,,,,,,,,
2021-03-28,,,,,,,,,,
2021-03-29,,,,,,,,,,
2021-03-30,,,,,,,,,,
2021-03-31,,,,,,,,,,
2021-04-01,,,,,,,,,,
2021-04-02,,,,,,,,,,
2021-04-03,,,,,,,,,,
2021-04-04,,,,,,,,,,
2021-04-05,,,,,,,,,,
2021-04-06,,,,,,,,,,
2021-04-07,,,,,,,,,,
2021-04-08,,,,,,,,,,
2021-04-09,,,,,,,,,,
2021-04-10,,,,,,,,,,
2021-04-11,,,,,,,,,,
2021-04-12,,,,,,,,,,
2021-04-13,,,,,,,,,,
2021-04-14,,,,,,,,,,
2021-04-15,,,,,,,,,,
2021-04-16,,,,,,,,,,
2021-04-17,,,,,,,,,,
2021-04-18,,,,,,,,,,
2021-04-19,,,,,,,,,,
2021-04-20,,,,,,,,,,
2021-04-21,,,,,,,,,,
2021-04-22,,,,,,,,,,
2021-04-23,,,,,,,,,,
2021-04-24,,,,,,,,,,
2021-04-25,,,,,,,,,,
2021-04-26,,,,,,,,,,
2021-04-27,,,,,,,,,,
2021-04-28,,,,,,,,,,
2021-04-29,,,,,,,,,,
2021-04-30,,,,,,,,,,
2021-05-01,,,,,,,,,,
2021-05-02,,,,,,,,,,
2021-05-03,,,,,,,,,,
2021-05-04,,,,,,,,,,
2021-05-05,,,,,,,,,,
2021-05-06,,,,,,,,,,
2021-05-07,,,,,,,,,,
2021-05-08,,,,,,,,,,
2021-05-09,,,,,,,,,,
2021-05-10,,,,,,,,,,
2021-05-11,,,,,,,,,,
2021-05-12,,,,,,,,,,
2021-05-13,,,,,,,,,,
2021-05-14,,,,,,,,,,
2021-05-15,,,,,,,,,,
2021-05-16,,,,,,,,,,
2021-05-17,,,,,,,,,,
2021-05-18,,,,,,,,,,
2021-05-19,,,,,,,,,,
2021-05-20,,,,,,,,,,
2021-05-21,,,,,,,,,,
2021-05-22,,,,,,,,,,
2021-05-23,,,,,,,,,,
2021-05-24,,,,,,,,,,
2021-05-25,,,,,,,,,,
2021-05-26,,,,,,,,,,
2021-05-27,,,,,,,,,,
2021-05-28,,,,,,,,,,
2021-05-29,,,,,,,,,,
2021-05-30,,,,,,,,,,
2021-05-31,,,,,,,,,,
2021-06-01,,,,,,,,,,
2021-06-02,,,,,,,,,,
2021-06-03,,,,,,,,,,
2021-06-04,,,,,,,,,,
2021-06-05,,,,,,,,,,
2021-06-06,,,,,,,,,,
2021-06-07,,,,,,,,,,
2021-06-08,,,,,,,,,,
2021-06-09,,,,,,,,,,
2021-06-10,,,,,,,,,,
2021-06-11,,,,,,,,,,
2021-06-12,,,,,,,,,,
2021-06-13,,,,,,,,,,
2021-06-14,,,,,,,,,,
2021-06-15,,,,,,,,,,
2021-06-16,,,,,,,,,,
2021-06-17,,,,,,,,,,
